 ,4B,8B,16B,32B,64B,128B,256B,512B,1K,2K,4K,8K,16K,32K,64K,128K,256K,512K,1M,2M,4M,8M
4K,121.8,120.4,138.7,136.7,132.3,140,136.7,161.4,134.2,156.8,,,,,,,,,,,,
8K,139,140.7,139.4,135.9,106.2,138.6,153.3,134.3,139.8,131.9,125.9,,,,,,,,,,,
16K,153,142.2,136.3,170.7,145.8,131.1,145.3,157.3,136.2,137.2,136.6,136.1,,,,,,,,,,
32K,135.6,142.5,155.7,143.4,128.9,144,133.5,137.2,149,159.2,142.9,144.4,150.6,,,,,,,,,
64K,124.1,132.1,165.2,157.4,140,160.6,138.5,134.3,200.7,153.6,152.1,137.6,136.7,177.1,,,,,,,,
128K,127.8,138.8,136.4,141.6,153.7,146.3,136.8,143,137.5,149.5,133.7,146.5,156.9,145.9,151.4,,,,,,,
256K,140,139.2,137.7,149.2,123.3,148.2,151.6,138.7,130.4,139.4,140.4,139,151.5,160.2,158,137.8,,,,,,
512K,138,156.4,148.4,151.5,147,178.5,145.4,142.9,155.7,142.4,135.1,150.5,158.7,156.9,139.7,138.3,141.6,,,,,
1M,131.4,155,147.2,141.4,155.9,149.1,148.4,149,138.3,134.6,136.1,154.5,151.5,106.2,137.8,140.9,165.7,161.4,,,,
2M,134.5,159.6,161.9,118.6,152.4,160.7,144.4,161.3,141.9,151.3,146.5,162.1,161.5,143.3,139.7,162.6,129.7,167,152.4,,,
4M,228.8,257.3,255.8,231.4,228.2,1120.2,234.9,203.9,236.8,186.6,233.2,226.2,235.3,242,207,243.5,260.3,230.9,211.7,258.5,,
8M,210,663.4,223,217.8,275.1,279.1,288.2,277.8,234.1,233.4,267.9,228.3,227,240.3,259.6,219.2,285,239.5,224,266,211.2,
16M,307,277.2,246.7,342.8,286.7,299.1,297.6,293.6,657.3,387.5,292.3,312.6,310.6,287.1,246.8,323.6,293.8,295.7,272.7,261.2,271.4,253.2
